name,category,hasVariants,price,costPrice,stock,minStock,barcode,unit,variants
Agaricus Muscarius,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
Agave Americana,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
Agnus Castus,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
Agrimonia eupatoria,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
Alchemilla vulgaris,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
Aletris farinose,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
Alfalfa,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
Aloes socotrina,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
Alsine Media-Stellaria Media,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
Alstonia Scholaris,Medicine,true,,,3,1,,pcs,"[{""name"":""Q"",""price"":"""",""costPrice"":"""",""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""30"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""200"",""price"":280.0,""costPrice"":220.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""1M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""10M"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""},{""name"":""CM"",""price"":290.0,""costPrice"":230.0,""stock"":3,""minStock"":1,""barcode"":"""",""unit"":""pcs""}]"
